"item","group","list","cond"
"130","G1","listA","regular"
"130","G1","listC","semv"
"130","G1","listB","syntv"
"131","G2","listB","regular"
"131","G2","listA","semv"
"131","G2","listC","syntv"
"139","G3","listC","regular"
"139","G3","listB","semv"
"139","G3","listA","syntv"
